Buff Name,Level01,Level02,Level03
賢王,キングは復活できない。,キングは移動時に一定確率バリアを獲得する。\n狂王に対して発動率上昇。,勝利条件を追加する。\nキングが敵キングの初期位置に到達すると勝利。
狂王,キングは復活できない。,キングが駒を捕獲すると、追加で1回移動できる。\n（1ターンに1回まで）,キングの移動距離+2。\n駒を貫通し、進路上のすべての駒を捕獲する。
魔女,クイーンは呪い無効。クイーンの移動距離が3になる。,クイーン移動後、\nマスに呪いを付与する。,クイーン移動後、\n移動可能なすべてのマスを呪う。
麗人,クイーンが捕獲される時、到達可能なナイトと位置を入れ替え、代わりにナイトが捕獲される。,移動範囲に関係なく、\nナイトはクイーンの代わりに捕獲される。,クイーンが駒を捕獲した時、一定確率で魅了する。\n魅了された駒はナイトとなり、クイーンの元の位置に出現する。\n捕獲した駒がナイトの場合、必ず魅了する。
呪術師,ビショップは追加の移動方向を獲得する。\n前方移動範囲+2マス。,ビショップは追加の移動方向を獲得する。\n後方移動範囲+2マス。,ビショップは呪い無効。\n移動後、到達可能な駒をランダムで1体呪う。
僧侶,ビショップは追加の移動方向を獲得する。\n左方向移動範囲+2マス。,ビショップは追加の移動方向を獲得する。\n右方向移動範囲+2マス。,ビショップは呪い無効。\n移動後、範囲内のすべての駒を浄化する。
突撃兵,ルークは味方の駒を貫通して移動できる。,ルークはすべての駒を貫通して移動できる。,ルークは進路上の敵駒を貫通し、\n捕獲できる。
守護者,ルークの保護範囲内の駒は捕獲されない。\n保護範囲が前後に拡大する。,保護範囲が左右に拡大する。,保護範囲が斜め方向に拡大する。
騎兵,ナイトは追加の移動方向を獲得する。\n前後方向移動範囲+1マス。,ナイトの前後方向への移動範囲が3マス増える,ナイトが駒を捕獲すると、追加で1回移動できる。\n（1ターンに1回）
遊撃兵,ナイトは追加の移動方向を獲得する。\n左右方向移動範囲+1マス。,ナイトの左右方向への移動範囲が3マス増える,ナイト移動後、\n左右に隣接する敵駒を捕獲する。
斥候,ポーンは昇格できない。,ポーンは捕獲した駒の移動範囲を獲得する。,ポーンの移動距離+3。
影武者,ポーンは昇格できない。\n移動方向がキングと同じになる。,ポーンはキングしか捕獲できない。,ポーンが生存している限り、\n味方のキングは捕獲されない。
